a01,Savings in the past year,Current Savings,Total Savings,Saving Frequency,Savings diversification
277,1,1,1.760475799,0.693330638,-0.493815326
278,1,1,-0.216268305,1.41889416,-0.493815326
279,1,1,-0.216268305,-0.757796407,-0.493815326
280.1,1,1,-0.116432745,1.056112399,2.362567443
280.2,1,1,-0.202956897,0.693330638,-0.493815326
281,1,1,-0.180127832,1.056112399,0.934376058
282.1,1,1,-0.22292401,1.056112399,-0.493815326
282.2,1,1,-0.22292401,0.693330638,-0.493815326
284,0,0,-0.236235418,-1.120578168,-0.493815326
285,1,1,-0.053869126,0.693330638,3.790758827
286.1,1,1,0.151126558,1.41889416,2.362567443
286.2,1,1,-0.216268305,1.056112399,-0.493815326
287,1,1,-0.182989785,1.056112399,-0.493815326
288,1,1,-0.226917432,1.056112399,0.934376058
289,1,1,0.502547733,0.693330638,2.362567443
290,1,1,-0.115267996,1.056112399,5.218950212
291,1,1,0.083238377,1.056112399,2.362567443
292,1,1,0.043304153,1.056112399,2.362567443
293,1,1,-0.092824962,1.056112399,0.934376058
294,1,1,-0.049875704,0.693330638,0.934376058
295,1,1,-0.22292401,0.693330638,-0.493815326
296,1,1,-0.209612601,0.693330638,-0.493815326
297,1,1,-0.126150073,0.693330638,0.934376058
298,1,1,0.362777948,0.693330638,3.790758827
299,0,0,-0.236235418,-1.120578168,-0.493815326
300,1,1,-0.216268305,0.693330638,-0.493815326
301,1,0,-0.236235418,-1.120578168,-0.493815326
302,1,1,-0.178996363,1.056112399,2.362567443
303,1,0,-0.236235418,-1.120578168,-0.493815326
304,1,1,-0.176334081,1.056112399,0.934376058
305,1,1,-0.214937165,1.056112399,-0.493815326
307,1,0,-0.236235418,-1.120578168,-0.493815326
308,1,1,0.096549785,-0.757796407,-0.493815326
309,1,1,-0.069842816,1.056112399,-0.493815326
310,1,0,-0.236235418,-1.120578168,-0.493815326
311,1,0,-0.236235418,-1.120578168,-0.493815326
312,1,1,-0.136399857,1.056112399,-0.493815326
313,1,0,-0.236235418,-1.120578168,-0.493815326
314,1,1,-0.202956897,1.056112399,0.934376058
315,1,1,-0.186983208,1.056112399,0.934376058
316.1,1,1,-0.219596157,1.056112399,-0.493815326
316.2,1,1,0.109861193,1.056112399,2.362567443
316.3,1,1,-0.202956897,1.056112399,-0.493815326
317,1,0,-0.236235418,-1.120578168,-0.493815326
318,1,1,-0.209612601,0.693330638,-0.493815326
319,1,0,-0.236235418,-1.120578168,-0.493815326
320,1,0,-0.236235418,-1.120578168,-0.493815326
322.1,1,1,-0.003285776,-0.757796407,-0.493815326
322.2,1,1,4.755542625,-0.757796407,0.934376058
323,1,1,-0.103121336,0.693330638,0.934376058
324,1,0,-0.236235418,-1.120578168,-0.493815326
325,1,1,-0.152420136,1.056112399,2.362567443
326,1,0,-0.236235418,-1.120578168,-0.493815326
327,1,0,-0.236235418,-1.120578168,-0.493815326
328,0,0,-0.236235418,-1.120578168,-0.493815326
329.1,1,1,-0.179661933,1.056112399,0.934376058
329.2,1,1,-0.116432745,0.693330638,0.934376058
330,1,0,-0.236235418,-1.120578168,-0.493815326
331,1,1,-0.123088449,1.41889416,0.934376058
332,1,0,-0.236235418,-1.120578168,-0.493815326
333,1,1,0.003369928,0.693330638,-0.493815326
334,1,1,0.043304153,0.693330638,0.934376058
335,0,0,-0.236235418,-1.120578168,-0.493815326
336.1,1,1,-0.226251862,1.056112399,-0.493815326
336.2,1,1,-0.220261728,0.693330638,-0.493815326
337,1,1,0.027330463,0.693330638,2.362567443
338.1,1,1,-0.149711265,0.693330638,-0.493815326
338.2,1,1,-0.196301193,0.693330638,-0.493815326
339,1,1,-0.194970052,1.41889416,0.934376058
341,1,1,-0.202956897,0.693330638,-0.493815326
342,1,0,-0.236235418,-1.120578168,-0.493815326
343,1,0,-0.236235418,-1.120578168,-0.493815326
345,1,1,-0.153039117,0.693330638,-0.493815326
346,1,1,0.083238377,1.056112399,2.362567443
347,1,1,0.702218854,0.693330638,2.362567443
348,1,1,-0.169678377,0.693330638,-0.493815326
349,1,1,-0.136399857,0.693330638,0.934376058
350,1,1,-0.22292401,0.693330638,-0.493815326
351,1,1,-0.22292401,0.693330638,-0.493815326
352,1,1,-0.226251862,1.056112399,-0.493815326
353,1,1,-0.196301193,-0.757796407,-0.493815326
354,1,1,-0.086408864,1.056112399,0.934376058
355,1,1,-0.196301193,1.056112399,-0.493815326
356,1,1,-0.182989785,1.056112399,-0.493815326
358,1,1,-0.202956897,1.056112399,-0.493815326
360,1,1,-0.202956897,0.693330638,-0.493815326
361,1,1,-0.196301193,0.693330638,-0.493815326
362,1,1,-0.089809928,1.056112399,2.362567443
363,1,1,-0.218930587,1.056112399,-0.493815326
364,1,1,0.003369928,0.693330638,0.934376058
365,0,0,-0.236235418,-1.120578168,-0.493815326
366,1,1,-0.089809928,1.056112399,0.934376058
367,1,1,-0.169678377,0.693330638,-0.493815326
368.1,0,0,-0.236235418,-1.120578168,-0.493815326
368.2,1,1,0.115185757,1.056112399,0.934376058
369,1,1,-0.232907566,0.693330638,-0.493815326
370,1,0,-0.236235418,-1.120578168,-0.493815326
371,1,0,-0.236235418,-1.120578168,-0.493815326
372,1,1,-0.220674382,0.693330638,-0.493815326
373,1,1,0.562449069,-0.757796407,-0.493815326
374,1,1,-0.060524831,1.056112399,0.934376058
376,1,1,-0.230245284,1.056112399,-0.493815326
377.1,1,0,-0.236235418,-1.120578168,-0.493815326
377.2,1,1,-0.192973341,1.056112399,0.934376058
378,1,1,-0.214937165,1.056112399,-0.493815326
379,1,0,-0.236235418,-1.120578168,-0.493815326
380,1,1,-0.222125325,1.056112399,2.362567443
381,1,0,-0.236235418,-1.120578168,-0.493815326
382,1,1,-0.182989785,0.693330638,-0.493815326
383,1,0,-0.236235418,-1.120578168,-0.493815326
384,1,0,-0.236235418,-1.120578168,-0.493815326
385,1,1,-0.23124364,1.056112399,-0.493815326
386,1,1,1.094905394,-0.757796407,-0.493815326
387,0,0,-0.236235418,-1.120578168,-0.493815326
388,1,1,-0.231576425,1.056112399,-0.493815326
389,1,1,-0.192973341,-0.757796407,-0.493815326
390,1,1,-0.186317637,0.693330638,0.934376058
391,1,1,-0.134502981,0.693330638,0.934376058
392,1,1,-0.202956897,1.056112399,-0.493815326
393,0,0,-0.236235418,-1.120578168,-0.493815326
394,1,0,-0.236235418,-1.120578168,-0.493815326
395,1,1,-0.169678377,1.056112399,-0.493815326
396,1,0,-0.236235418,-1.120578168,-0.493815326
397,1,0,-0.236235418,-1.120578168,-0.493815326
398,1,1,-0.017928325,1.056112399,2.362567443
399,1,1,3.091616611,-0.757796407,-0.493815326
400,1,1,0.797395422,1.056112399,6.647141596
401,1,1,-0.189645489,0.693330638,-0.493815326
402,1,1,-0.233573136,1.056112399,-0.493815326
403,0,0,-0.236235418,-1.120578168,-0.493815326
404,1,1,-0.22292401,1.056112399,-0.493815326
405,1,0,-0.236235418,-1.120578168,-0.493815326
407,1,1,-0.202956897,1.056112399,-0.493815326
408,0,0,-0.236235418,-1.120578168,-0.493815326
409,1,0,-0.236235418,-1.120578168,-0.493815326
410,1,1,0.319515871,1.056112399,0.934376058
411,1,1,0.096549785,-0.757796407,-0.493815326
412,1,1,-0.231576425,1.056112399,-0.493815326
413,0,0,-0.236235418,-1.120578168,-0.493815326
414,1,0,-0.236235418,-1.120578168,-0.493815326
415,0,0,-0.236235418,-1.120578168,-0.493815326
416,1,1,-0.221592869,1.056112399,0.934376058
417,1,1,-0.207948675,0.693330638,-0.493815326
418,1,1,-0.209945387,1.056112399,-0.493815326
419,1,1,-0.196301193,1.056112399,-0.493815326
420,1,1,0.895234272,-0.757796407,0.934376058
421,1,1,-0.182989785,1.056112399,0.934376058
422,1,1,0.322843723,0.693330638,-0.493815326
423,1,1,-0.226251862,1.056112399,-0.493815326
424,1,1,1.102559453,1.056112399,2.362567443
425,1,1,-0.126416301,0.693330638,0.934376058
426,1,1,-0.23124364,1.056112399,-0.493815326
427,1,1,-0.230578069,1.056112399,-0.493815326
428,1,1,-0.182989785,1.056112399,-0.493815326
429,1,1,-0.202956897,1.056112399,-0.493815326
430,1,1,-0.196301193,0.693330638,-0.493815326
431,1,1,-0.081823084,0.693330638,0.934376058
432,1,1,-0.196301193,1.056112399,2.362567443
433,1,1,-0.22292401,1.056112399,-0.493815326
434,1,1,-0.202956897,0.693330638,-0.493815326
435,1,1,-0.234238706,1.056112399,-0.493815326
436,1,1,-0.216268305,0.693330638,-0.493815326
437.1,1,1,-0.036564296,1.056112399,-0.493815326
438.1,1,0,-0.236235418,-1.120578168,-0.493815326
438.2,1,1,-0.209612601,1.056112399,-0.493815326
439,1,0,-0.236235418,-1.120578168,-0.493815326
440.1,1,1,-0.089809928,0.693330638,-0.493815326
440.2,1,0,-0.236235418,-1.120578168,-0.493815326
440.3,1,0,-0.236235418,-1.120578168,-0.493815326
441,1,1,-0.227915788,1.056112399,-0.493815326
442,1,1,-0.226251862,1.056112399,-0.493815326
443,1,1,-0.154370258,1.056112399,0.934376058
444,1,0,-0.236235418,-1.120578168,-0.493815326
445,1,1,0.462613508,-0.757796407,-0.493815326
446,1,0,-0.236235418,-1.120578168,-0.493815326
447,1,1,-0.186317637,0.693330638,0.934376058
448,1,1,0.700554928,1.056112399,0.934376058
449,1,1,0.362777948,-0.757796407,-0.493815326
450,0,0,-0.236235418,-1.120578168,-0.493815326
451,0,0,-0.236235418,-1.120578168,-0.493815326
452,1,0,-0.236235418,-1.120578168,-0.493815326
453,1,1,-0.228914143,1.056112399,-0.493815326
454,1,0,-0.236235418,-1.120578168,-0.493815326
455,1,0,-0.236235418,-1.120578168,-0.493815326
456,1,1,-0.189645489,1.056112399,-0.493815326
457,1,1,0.041640227,1.056112399,0.934376058
458,1,0,-0.236235418,-1.120578168,-0.493815326
459,1,1,-0.074834594,0.693330638,0.934376058
460,1,0,-0.236235418,-1.120578168,-0.493815326
461,1,1,-0.219596157,1.056112399,0.934376058
462,1,0,-0.236235418,-1.120578168,-0.493815326
463,1,1,-0.216268305,1.056112399,-0.493815326
464.1,1,1,-0.229579714,0.693330638,-0.493815326
464.2,1,1,-0.179661933,1.056112399,0.934376058
465,1,1,-0.163022673,1.056112399,0.934376058
466,1,1,-0.169678377,0.693330638,-0.493815326
467.1,0,0,-0.236235418,-1.120578168,-0.493815326
467.2,1,1,0.848644344,1.056112399,0.934376058
468,1,1,0.003369928,0.693330638,0.934376058
469,1,1,0.242975274,1.056112399,0.934376058
471,1,1,-0.200960186,1.056112399,0.934376058
472,1,1,-0.234238706,1.056112399,-0.493815326
473,1,1,-0.226917432,1.056112399,-0.493815326
474.1,1,0,-0.236235418,-1.120578168,-0.493815326
474.2,1,0,-0.236235418,-1.120578168,-0.493815326
475,1,1,0.096549785,-0.757796407,-0.493815326
476,1,1,-0.169012807,1.056112399,0.934376058
477,1,0,-0.236235418,-1.120578168,-0.493815326
478,1,1,0.063271265,-0.757796407,-0.493815326
479,1,1,-0.121757308,1.056112399,2.362567443
480,0,0,-0.236235418,-1.120578168,-0.493815326
481,1,1,4.422757422,-0.757796407,-0.493815326
482,1,0,-0.236235418,-1.120578168,-0.493815326
483.1,1,1,0.242975274,0.693330638,0.934376058
483.2,0,0,-0.236235418,-1.120578168,-0.493815326
484.1,0,0,-0.236235418,-1.120578168,-0.493815326
484.2,0,0,-0.236235418,-1.120578168,-0.493815326
485,1,1,0.096549785,-0.757796407,-0.493815326
486,1,1,1.760475799,0.693330638,-0.493815326
487,1,0,-0.236235418,-1.120578168,-0.493815326
489,1,0,-0.236235418,-1.120578168,-0.493815326
490.1,1,1,-0.216268305,0.693330638,-0.493815326
490.2,0,0,-0.236235418,-1.120578168,-0.493815326
491.1,0,0,-0.236235418,-1.120578168,-0.493815326
491.2,0,0,-0.236235418,-1.120578168,-0.493815326
492,1,1,-0.22292401,-0.757796407,-0.493815326
493,1,1,-0.149697953,1.056112399,0.934376058
494,1,1,0.045966434,0.693330638,0.934376058
495.1,1,1,-0.181818381,1.056112399,-0.493815326
495.2,1,1,-0.171934661,1.056112399,-0.493815326
496,0,0,-0.236235418,-1.120578168,-0.493815326
497,0,0,-0.236235418,-1.120578168,-0.493815326
498,0,0,-0.236235418,-1.120578168,-0.493815326
499,0,0,-0.236235418,-1.120578168,-0.493815326
500,1,1,0.296220907,-0.757796407,-0.493815326
502,1,1,-0.170157588,1.056112399,-0.493815326
503,1,1,7.750609451,-0.757796407,-0.493815326
505,1,1,-0.216268305,1.056112399,-0.493815326
506,0,0,-0.236235418,-1.120578168,-0.493815326
507,1,1,-0.182989785,1.056112399,-0.493815326
508,1,1,-0.098315918,1.056112399,-0.493815326
509,1,1,1.574116086,0.693330638,0.934376058
510,1,1,-0.169678377,1.056112399,-0.493815326
511,1,1,0.69556315,-0.757796407,0.934376058
512,0,0,-0.236235418,-1.120578168,-0.493815326
