,a01,Savings in past year,Current Savings,Total Savings,Saving Frequency,Savings diversification
3665,2619.1,1,1,40000.0,1.0,1
3666,2619.2,1,1,1000.0,1.0,1
3667,2620.0,1,1,43000.0,5.0,1
3668,2621.0,1,1,3030.0,6.0,1
3669,2622.1,1,1,2800.0,6.0,1
3670,2622.2,1,1,6000.0,6.0,2
3672,2623.0,1,1,83000.0,6.0,2
3674,2624.0,1,1,5000.0,6.0,2
3676,2625.0,1,1,7495.0,6.0,2
3678,2626.1,1,0,0.0,0.0,1
3681,2626.2,1,1,251000.0,6.0,4
3683,2627.0,1,1,6919.0,6.0,1
3684,2628.0,1,1,250000.0,1.0,1
3685,2629.1,1,0,0.0,0.0,1
3686,2629.2,1,1,3000.0,6.0,1
3687,2630.0,1,1,1550.0,6.0,1
3688,2631.0,1,1,57000.0,5.0,3
3691,2632.0,1,0,0.0,0.0,1
3693,2633.1,1,1,7000.0,6.0,2
3694,2633.2,1,1,12500.0,5.0,2
3696,2634.1,1,1,1524.0,5.0,1
3697,2634.2,1,1,15000.0,6.0,1
3698,2635.0,1,1,5500.0,6.0,2
3700,2636.0,1,1,1000.0,6.0,1
3701,2637.0,1,0,0.0,0.0,1
3702,2638.0,1,1,3000.0,6.0,1
3703,2639.0,1,0,0.0,0.0,1
3704,2640.0,0,0,0.0,0.0,1
3705,2641.0,0,0,0.0,0.0,1
3706,2642.0,0,0,0.0,0.0,1
3708,2643.0,1,1,13535.0,6.0,2
3709,2644.0,1,1,5500.0,6.0,2
3711,2645.0,0,0,0.0,0.0,1
3712,2646.0,1,1,2570.0,6.0,1
3713,2648.0,1,1,200000.0,1.0,1
3714,2649.0,0,0,0.0,0.0,1
3715,2650.0,1,1,600000.0,1.0,1
3716,2651.0,1,1,14290.0,6.0,2
3718,2652.0,0,0,0.0,0.0,1
3719,2653.0,0,0,0.0,0.0,1
3720,2654.0,1,1,51500.0,5.0,2
3722,2655.0,1,1,47800.0,6.0,4
3726,2656.0,0,0,0.0,0.0,1
3727,2657.1,1,1,13277.0,6.0,2
3729,2657.2,1,1,8000.0,6.0,2
3731,2658.0,0,0,0.0,0.0,1
3732,2659.0,1,1,4500.0,6.0,2
3734,2660.0,1,1,4200.0,6.0,1
3735,2661.0,1,1,120000.0,5.0,1
3736,2662.0,0,0,0.0,0.0,1
3737,2663.0,0,0,0.0,0.0,1
3738,2664.0,0,0,0.0,0.0,1
3739,2665.0,0,0,0.0,0.0,1
3740,2666.0,0,0,0.0,0.0,1
3741,2667.0,1,1,20000.0,5.0,2
3743,2668.0,0,0,0.0,0.0,1
3744,2669.0,1,1,1100000.0,5.0,3
3747,2670.0,1,1,8000.0,5.0,1
3748,2671.0,0,0,0.0,0.0,1
3749,2672.0,0,0,0.0,0.0,1
3750,2674.0,0,0,0.0,0.0,1
3751,2675.0,1,1,17000.0,5.0,3
3754,2677.0,0,0,0.0,0.0,1
3755,2678.0,0,0,0.0,0.0,1
3756,2679.0,0,0,0.0,0.0,1
3757,2680.0,1,1,300.0,5.0,1
3758,2681.0,0,0,0.0,0.0,1
3759,2682.0,1,1,25817.0,6.0,3
3762,2683.0,0,0,0.0,0.0,1
3763,2684.0,1,0,0.0,0.0,1
3764,2685.0,1,1,25000.0,6.0,1
3765,2686.0,0,0,0.0,0.0,1
3767,2687.0,1,1,215000.0,2.0,2
3768,2688.0,1,1,6300.0,7.0,1
3769,2689.0,1,1,15000.0,5.0,2
3771,2690.0,1,1,14455.0,6.0,1
3772,2691.0,0,0,0.0,0.0,1
3773,2692.0,1,1,6100.0,5.0,1
3774,2693.0,0,0,0.0,0.0,1
3775,2694.0,0,0,0.0,0.0,1
3776,2695.0,0,0,0.0,0.0,1
3777,2696.0,1,1,4500.0,6.0,1
3778,2697.0,0,0,0.0,0.0,1
3779,2698.0,0,0,0.0,0.0,1
3780,2699.0,1,1,3100.0,6.0,1
3781,2700.0,0,0,0.0,0.0,1
3782,2701.0,1,1,200000.0,1.0,1
3783,2702.0,1,1,2000.0,5.0,1
3784,2703.0,0,0,0.0,0.0,1
3785,2704.0,1,1,3500.0,6.0,1
3786,2705.0,1,1,40000.0,6.0,4
3790,2706.0,1,1,1000.0,1.0,1
3791,2707.0,0,0,0.0,0.0,1
3793,2708.0,1,1,8547.0,6.0,2
3794,2709.0,1,0,0.0,0.0,1
3795,2710.0,1,1,3831.0,5.0,1
3796,2711.0,0,0,0.0,0.0,1
3797,2712.0,0,0,0.0,0.0,1
3798,2713.0,1,1,17305.0,5.0,1
3799,2714.0,1,1,2700.0,6.0,1
3800,2715.0,0,0,0.0,0.0,1
3801,2716.0,1,1,12000.0,6.0,1
3802,2717.0,1,1,700.0,1.0,1
3803,2718.0,1,1,104000.0,6.0,2
3805,2719.0,1,1,127500.0,5.0,2
3807,2720.0,1,1,1500.0,5.0,1
3808,2721.0,1,1,62000.0,5.0,2
3810,2722.0,0,0,0.0,0.0,1
3811,2723.0,1,1,1300.0,6.0,1
3812,2724.0,1,1,40000.0,1.0,1
3813,2725.0,1,1,15000.0,5.0,2
3815,2726.0,0,0,0.0,0.0,1
3816,2727.0,0,0,0.0,0.0,1
3817,2728.0,0,0,0.0,0.0,1
3818,2729.0,1,1,9000.0,6.0,2
3820,2730.0,1,1,8000.0,6.0,1
3821,2731.0,0,0,0.0,0.0,1
3822,2732.0,1,1,70000.0,1.0,1
3823,2733.0,1,1,3000.0,6.0,1
3824,2734.0,0,0,0.0,0.0,1
3825,2735.0,0,0,0.0,0.0,1
3826,2736.0,1,1,5000.0,6.0,1
3827,2737.0,1,1,7000.0,6.0,1
3828,2740.0,1,1,75000.0,1.0,1
3829,2741.0,1,1,1500.0,6.0,1
3830,2742.0,1,1,60000.0,5.0,1
3831,2743.1,0,0,0.0,0.0,1
3832,2743.2,0,0,0.0,0.0,1
3833,2743.3,1,1,10000.0,5.0,1
3834,2744.0,1,1,2500.0,6.0,1
3835,2745.1,0,0,0.0,0.0,1
3836,2745.2,1,1,10700.0,6.0,2
3838,2745.3,1,1,5000.0,6.0,1
3839,2745.4,0,0,0.0,0.0,1
3840,2746.1,0,0,0.0,0.0,1
3841,2746.2,1,1,1200.0,6.0,1
3842,2747.1,0,0,0.0,0.0,1
3843,2747.2,0,0,0.0,0.0,1
3844,2748.0,0,0,0.0,0.0,1
3845,2749.0,0,0,0.0,0.0,1
3846,2750.0,0,0,0.0,0.0,1
3848,2751.0,1,1,51000.0,6.0,3
3850,2752.0,1,1,7200.0,5.0,1
3851,2753.0,1,1,130000.0,1.0,1
3852,2755.0,1,1,7500.0,6.0,3
3856,2756.1,1,1,85000.0,6.0,2
3857,2756.2,1,1,51500.0,6.0,2
3859,2757.0,1,1,50000.0,1.0,1
3860,2758.0,1,1,65000.0,1.0,1
3861,2759.0,0,0,0.0,0.0,1
3862,2760.0,0,0,0.0,0.0,1
3863,2761.0,1,1,13.0,5.0,1
3864,2762.0,0,0,0.0,0.0,1
3865,2763.0,1,1,1782.0,6.0,1
3866,2764.0,1,1,90.0,5.0,1
3867,2765.0,0,0,0.0,0.0,1
3868,2766.0,1,1,2320.0,5.0,1
3869,2767.0,0,0,0.0,0.0,1
3870,2768.0,0,0,0.0,0.0,1
3872,2769.0,1,1,71000.0,6.0,5
3876,2770.0,0,0,0.0,0.0,1
3877,2771.0,1,1,7500.0,6.0,2
3879,2772.0,1,1,400000.0,5.0,1
3880,2773.0,0,0,0.0,0.0,1
3881,2774.0,0,0,0.0,0.0,1
3882,2775.0,1,1,400.0,5.0,1
3883,2776.0,1,1,15000.0,1.0,1
3884,2777.0,1,1,221000.0,5.0,2
3886,2778.0,1,1,5000.0,5.0,1
3888,2779.0,1,1,30900.0,5.0,2
3889,2780.0,1,1,40000.0,5.0,2
3892,2781.0,1,1,12800.0,6.0,2
3893,2782.0,1,1,3300.0,4.0,1
3894,2783.0,0,0,0.0,0.0,1
3895,2784.0,0,0,0.0,0.0,1
3896,2785.1,0,0,0.0,0.0,1
