a01,f_ed,m_ed,combined_ed
5222.2,12,14,26
5223,10,5,15
5224,10,13,23
5226.2,8,3,11
5233.2,8,0,8
5236,12,5,17
5238,5,0,5
5239,7,0,7
5245,9,9,18
5247.1,13,13,26
5254,10,5,15
5255.1,12,4,16
5256,5,8,13
5258.1,5,8,13
5258.2,5,8,13
5261,8,5,13
5264,10,12,22
5265,9,3,12
5267,6,0,6
5270,5,5,10
5274,8,8,16
5278,5,0,5
5289,10,9,19
5291,10,10,20
5309,7,10,17
5310,7,10,17
5312.1,5,0,5
5314,0,0,0
5320,7,7,14
5326,12,13,25
5327,13,12,25
5341,8,0,8
5342,4,0,4
5352,8,5,13
5353,8,5,13
5354,6,10,16
5366,8,8,16
5369.1,7,5,12
5376,12,14,26
5378,10,12,22
5379,10,13,23
5382,6,5,11
5390,7,8,15
5409,8,5,13
5410,14,14,28
5413,5,6,11
5416,6,5,11
5430,10,5,15
5435,6,5,11
5439,10,5,15
5440,6,9,15
5444,5,3,8
5447,6,5,11
5448,9,9,18
5462,8,9,17
5464,7,3,10
5467,10,10,20
5468,7,0,7
5473,6,8,14
5477,3,4,7
5478,5,10,15
5480,8,5,13
5491.1,8,4,12
5498,5,2,7
5500,7,5,12
