,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
566,2899.0,0,0,-0.236235418,-1.120578168,-0.493815326,274.0,309.0,35.0,730000,792,5,8.0,13,2917,3.0,3.0,3.0
567,2903.0,1,0,-0.236235418,-1.120578168,-0.493815326,62.0,18.5,-43.5,895000,793,12,13.0,25,2921,4.0,4.0,4.0
568,2912.0,1,1,-0.163022673,1.056112399,-0.493815326,55.0,75.0,20.0,3950000,794,7,8.0,15,2929,4.0,4.0,4.0
569,2927.0,1,1,0.014684625,1.056112399,0.934376058,53.0,199.0,146.0,8040000,796,7,9.0,16,2944,4.0,4.0,4.0
570,2928.0,1,0,-0.236235418,-1.120578168,-0.493815326,96.0,15.5,-80.5,4200000,797,12,12.0,24,2945,4.0,4.0,2.5
571,2933.0,1,1,-0.220261728,0.693330638,-0.493815326,6.0,6.5,0.5,1250000,798,9,8.0,17,2950,4.0,4.0,4.0
572,2942.0,1,1,-0.089809928,0.693330638,-0.493815326,168.0,7.0,-161.0,300000,800,10,10.0,20,2958,3.5,3.5,4.0
573,2951.1,1,1,-0.22425515,0.693330638,-0.493815326,197.0,209.0,12.0,4125000,801,4,0.0,4,2968,2.833333333,4.0,3.0
574,2954.0,1,1,0.063271265,-0.395014646,-0.493815326,131.0,100.0,-31.0,2890000,802,8,5.0,13,2973,4.0,4.0,2.166666667
575,2955.0,1,1,0.362777948,-0.395014646,-0.493815326,53.5,90.0,36.5,1320000,803,8,8.0,16,2974,3.2,3.4,1.166666667
576,2961.1,0,0,-0.236235418,-1.120578168,-0.493815326,41.0,41.0,0.0,640000,804,9,5.0,14,2980,4.0,4.0,3.0
577,2961.2,1,1,-0.016597184,1.056112399,0.934376058,41.0,71.0,30.0,935000,805,9,5.0,14,2981,4.0,4.0,3.5
578,2964.0,1,1,-0.22292401,1.056112399,-0.493815326,156.0,121.0,-35.0,1355000,806,9,5.0,14,2984,3.5,4.0,3.5
579,2966.0,0,0,-0.236235418,-1.120578168,-0.493815326,170.0,220.0,50.0,1780000,807,10,8.0,18,2986,3.25,3.25,3.0
580,2973.0,1,1,-0.177811647,1.056112399,-0.493815326,14.0,5.0,-9.0,200000,809,9,5.0,14,2993,4.0,4.0,2.0
581,2976.0,1,1,-0.196301193,1.056112399,-0.493815326,3.5,3.5,0.0,100000,810,10,10.0,20,2996,4.0,4.0,3.0
582,2979.0,0,0,-0.236235418,-1.120578168,-0.493815326,6.5,6.5,0.0,275000,811,5,5.0,10,2999,4.0,4.0,3.166666667
583,2988.0,1,1,-0.216268305,1.056112399,-0.493815326,72.0,72.0,0.0,2000000,812,5,5.0,10,3011,4.0,4.0,1.75
584,2989.0,0,0,-0.236235418,-1.120578168,-0.493815326,49.0,49.0,0.0,2085000,813,5,10.0,15,3012,3.666666667,3.666666667,3.0
585,2999.0,1,1,-0.219596157,1.056112399,-0.493815326,63.0,63.0,0.0,660000,814,2,5.0,7,3022,4.0,4.0,3.5
586,3008.0,1,1,-0.219596157,1.056112399,-0.493815326,12.5,12.5,0.0,830000,815,7,5.0,12,3032,4.0,4.0,3.5
587,3010.0,0,0,-0.236235418,-1.120578168,-0.493815326,198.0,190.0,-8.0,2530000,816,12,0.0,12,3034,4.0,4.0,3.333333333
588,3011.0,1,1,-0.209612601,1.056112399,-0.493815326,153.0,153.0,0.0,8980000,817,10,9.0,19,3035,3.4,3.4,3.166666667
589,3013.0,0,0,-0.236235418,-1.120578168,-0.493815326,111.0,165.0,54.0,9510000,819,9,5.0,14,3037,3.333333333,3.333333333,3.0
590,3014.1,1,1,-0.213838973,1.056112399,-0.493815326,3.0,3.0,0.0,100000,822,8,5.0,13,3038,3.75,3.75,3.285714286
591,3020.0,1,0,-0.236235418,-1.120578168,-0.493815326,72.85,70.85,-2.0,1340000,823,12,13.0,25,3044,4.0,4.0,3.75
592,3045.0,1,1,-0.176067853,1.056112399,-0.493815326,2.0,2.0,0.0,200000,824,12,8.0,20,3074,4.0,4.0,4.0
593,3055.0,1,0,-0.236235418,-1.120578168,-0.493815326,4.0,4.0,0.0,200000,826,9,5.0,14,3083,4.0,4.0,2.0
594,3057.0,1,1,-0.169678377,1.056112399,-0.493815326,138.0,138.0,0.0,3270000,827,9,5.0,14,3085,4.0,4.0,3.166666667
595,3063.0,1,0,-0.236235418,-1.120578168,-0.493815326,68.0,289.0,221.0,6520000,829,5,5.0,10,3091,3.333333333,2.0,2.333333333
596,3068.0,1,0,-0.236235418,-1.120578168,-0.493815326,361.0,361.0,0.0,7500000,831,9,6.0,15,3095,3.6,3.4,2.666666667
597,3069.0,1,1,-0.227915788,1.056112399,-0.493815326,43.0,338.0,295.0,4950000,832,8,9.0,17,3096,3.0,4.0,2.666666667
598,3072.0,0,0,-0.236235418,-1.120578168,-0.493815326,322.5,232.5,-90.0,2850000,833,7,5.0,12,3100,3.333333333,4.0,3.0
599,3081.0,1,1,-0.225586291,0.693330638,-0.493815326,134.0,134.0,0.0,4260000,834,5,5.0,10,3110,4.0,4.0,4.0
600,3084.0,1,0,-0.236235418,-1.120578168,-0.493815326,39.0,39.0,0.0,1500000,836,9,10.0,19,3114,4.0,4.0,3.0
601,3086.0,1,0,-0.236235418,-1.120578168,-0.493815326,90.0,85.0,-5.0,2170000,837,5,5.0,10,3116,2.833333333,2.0,1.0
602,3096.0,1,1,-0.014600473,1.056112399,0.934376058,263.0,353.0,90.0,8810000,839,8,4.0,12,3125,4.0,4.0,3.857142857
603,3101.0,1,1,-0.208281461,1.056112399,-0.493815326,241.0,213.0,-28.0,3860000,841,5,5.0,10,3130,3.6,4.0,3.333333333
604,3107.0,1,1,-0.23124364,1.056112399,-0.493815326,141.5,141.5,0.0,1960000,842,9,3.0,12,3135,3.0,4.0,3.333333333
605,3110.0,1,1,-0.232241995,1.056112399,-0.493815326,92.0,177.0,85.0,2670000,843,5,8.0,13,3138,3.333333333,4.0,2.833333333
606,3117.0,1,1,-0.22292401,0.693330638,-0.493815326,15.0,15.0,0.0,350000,844,7,5.0,12,3143,4.0,4.0,3.0
607,3119.0,1,0,-0.236235418,-1.120578168,-0.493815326,105.0,182.0,77.0,2780000,845,1,0.0,1,3148,4.0,4.0,4.0
608,3128.0,1,0,-0.236235418,-1.120578168,-0.493815326,49.0,79.0,30.0,4500000,847,5,9.0,14,3158,3.0,2.0,3.8
609,3129.0,1,0,-0.236235418,-1.120578168,-0.493815326,93.0,93.0,0.0,5800000,848,9,9.0,18,3159,4.0,3.5,3.8
610,3135.0,1,1,0.077913814,1.056112399,0.934376058,52.0,50.0,-2.0,1900000,849,0,9.0,9,3165,4.0,4.0,2.666666667
611,3140.0,1,1,-0.228581358,1.056112399,-0.493815326,34.0,34.0,0.0,6300000,850,13,14.0,27,3170,3.0,2.5,2.4
612,3141.0,1,0,-0.236235418,-1.120578168,-0.493815326,43.0,21.0,-22.0,4200000,852,10,10.0,20,3171,3.5,3.5,3.75
613,3145.0,1,1,-0.216268305,1.056112399,-0.493815326,82.0,70.0,-12.0,7700000,853,13,12.0,25,3175,3.0,2.0,2.8
614,3151.0,1,0,-0.236235418,-1.120578168,-0.493815326,86.0,86.0,0.0,12210000,855,12,12.0,24,3181,2.5,2.0,2.333333333
615,3152.0,0,0,-0.236235418,-1.120578168,-0.493815326,6.0,6.0,0.0,1000000,856,10,9.0,19,3182,4.0,4.0,3.2
616,3157.0,1,0,-0.236235418,-1.120578168,-0.493815326,17.5,17.5,0.0,2500000,858,5,10.0,15,3187,3.5,3.0,4.0
617,3158.0,0,0,-0.236235418,-1.120578168,-0.493815326,75.0,7.0,-68.0,2000000,859,10,5.0,15,3188,4.0,3.5,2.0
618,3170.0,0,0,-0.236235418,-1.120578168,-0.493815326,2.0,2.0,0.0,400000,863,12,5.0,17,3201,4.0,4.0,2.0
619,3173.1,1,0,-0.236235418,-1.120578168,-0.493815326,6.0,5.0,-1.0,1000000,864,7,7.0,14,3205,4.0,4.0,4.0
620,3182.0,1,0,-0.236235418,-1.120578168,-0.493815326,7.0,7.0,0.0,350000,866,10,10.0,20,3215,4.0,4.0,3.0
621,3187.0,0,0,-0.236235418,-1.120578168,-0.493815326,75.0,7.0,-68.0,420000,868,12,12.0,24,3219,4.0,4.0,2.333333333
622,3193.0,0,0,-0.236235418,-1.120578168,-0.493815326,20.0,20.0,0.0,3000000,870,12,14.0,26,3223,4.0,4.0,2.0
623,3197.0,1,0,-0.236235418,-1.120578168,-0.493815326,6.0,6.0,0.0,700000,871,13,13.0,26,3227,4.0,4.0,1.75
624,3200.0,0,0,-0.236235418,-1.120578168,-0.493815326,151.0,151.0,0.0,3530000,872,10,10.0,20,3230,4.0,4.0,2.2
625,3201.0,1,1,-0.206151635,1.056112399,-0.493815326,120.0,94.0,-26.0,2250000,873,8,6.0,14,3231,4.0,4.0,4.0
626,3202.0,1,1,-0.1642207,1.056112399,-0.493815326,165.0,165.0,0.0,4000000,874,8,8.0,16,3232,3.2,3.2,4.0
627,3208.0,0,0,-0.236235418,-1.120578168,-0.493815326,113.0,167.0,54.0,3765000,875,12,10.0,22,3238,3.5,3.5,4.0
628,3214.0,1,1,0.623681547,0.693330638,0.934376058,201.0,145.0,-56.0,3925000,876,5,9.0,14,3245,3.5,3.5,3.0
629,3215.0,1,1,1.094905394,-0.757796407,-0.493815326,474.0,474.0,0.0,8580000,877,12,12.0,24,3246,3.6,3.4,3.833333333
630,3219.0,1,1,-0.202158213,-0.757796407,0.934376058,128.0,189.0,61.0,3020000,879,8,8.0,16,3251,3.6,3.6,3.4
631,3222.0,1,1,-0.178330792,1.056112399,0.934376058,24.0,11.0,-13.0,280000,880,4,5.0,9,3254,4.0,4.0,1.8
632,3228.0,1,1,-0.199629045,1.056112399,0.934376058,36.5,32.5,-4.0,350000,883,7,5.0,12,3259,3.666666667,3.666666667,4.0
633,3233.0,1,1,2.193096563,0.693330638,0.934376058,363.0,373.5,10.5,6790000,884,10,10.0,20,3264,4.0,4.0,1.666666667
634,3239.0,0,0,-0.236235418,-1.120578168,-0.493815326,278.0,261.0,-17.0,3785000,885,12,7.0,19,3271,3.5,3.5,3.4
635,3240.0,1,0,-0.236235418,-1.120578168,-0.493815326,136.0,138.0,2.0,2830000,887,12,12.0,24,3272,4.0,4.0,2.5
636,3243.0,0,0,-0.236235418,-1.120578168,-0.493815326,46.0,46.0,0.0,677000,888,7,0.0,7,3275,4.0,4.0,3.0
637,3248.0,1,0,-0.236235418,-1.120578168,-0.493815326,166.5,166.5,0.0,2245000,890,12,13.0,25,3280,4.0,4.0,1.666666667
638,3255.0,1,1,-0.096465632,-0.757796407,0.934376058,291.5,291.5,0.0,6310000,891,5,0.0,5,3286,3.6,3.6,1.666666667
639,3257.0,1,1,-0.189645489,1.056112399,-0.493815326,72.0,40.0,-32.0,555000,892,12,,12,3287,3.333333333,3.333333333,2.8
640,3268.0,1,1,2.492603246,-0.757796407,0.934376058,278.0,278.0,0.0,5650000,896,9,12.0,21,3298,3.0,3.0,2.5
641,3275.0,0,0,-0.236235418,-1.120578168,-0.493815326,188.0,88.0,-100.0,1230000,898,10,12.0,22,3304,3.25,3.25,3.0
642,3277.0,1,1,-0.220261728,1.056112399,-0.493815326,178.0,136.0,-42.0,1390000,900,8,12.0,20,3306,2.75,2.75,2.833333333
643,3285.0,1,1,0.083238377,0.693330638,-0.493815326,136.0,136.0,0.0,2187500,901,7,0.0,7,3312,3.25,3.5,3.0
644,3288.0,1,1,0.163106826,-0.757796407,-0.493815326,22.0,32.0,10.0,450000,902,5,5.0,10,3316,4.0,4.0,3.5
645,3292.0,1,1,0.974942984,1.056112399,2.362567443,214.0,191.0,-23.0,2250000,903,10,10.0,20,3320,4.0,4.0,3.833333333
646,3303.0,1,1,0.174421523,-0.757796407,0.934376058,57.5,78.5,21.0,785600,905,8,7.0,15,3329,3.5,3.5,3.166666667
647,3307.0,1,0,-0.236235418,-1.120578168,-0.493815326,87.0,40.0,-47.0,400000,906,5,5.0,10,3332,3.5,3.5,3.0
648,3321.0,1,1,-0.07649852,1.056112399,0.934376058,76.0,56.0,-20.0,1170000,907,6,5.0,11,3344,4.0,4.0,1.833333333
649,3331.0,1,1,0.429334988,-0.757796407,-0.493815326,140.0,75.0,-65.0,1750000,908,7,6.0,13,3354,4.0,4.0,2.0
650,3335.0,0,0,-0.236235418,-1.120578168,-0.493815326,10.0,10.0,0.0,150000,909,4,5.0,9,3358,4.0,4.0,1.8
651,3338.0,1,1,3.757187017,-0.757796407,-0.493815326,136.0,206.0,70.0,5000000,910,10,12.0,22,3360,4.0,4.0,1.666666667
652,3351.0,1,1,0.429334988,0.693330638,-0.493815326,91.5,82.5,-9.0,5190000,912,14,8.0,22,3375,3.5,3.5,3.0
653,3355.0,1,1,0.262942387,-0.757796407,-0.493815326,43.0,97.0,54.0,1010000,913,7,7.0,14,3379,3.333333333,3.0,3.0
654,3357.0,1,0,-0.236235418,-1.120578168,-0.493815326,43.0,4.0,-39.0,130000,914,7,5.0,12,3381,3.666666667,3.666666667,3.333333333
655,3358.0,1,1,-0.181232679,1.056112399,-0.493815326,6.0,33.0,27.0,850000,915,10,0.0,10,3382,3.333333333,3.333333333,3.2
656,3362.0,0,0,-0.236235418,-1.120578168,-0.493815326,14.5,8.0,-6.5,170000,916,0,0.0,0,3386,2.5,2.5,2.0
657,3368.0,1,1,-0.22292401,1.056112399,-0.493815326,49.0,2.0,-47.0,70000,917,7,3.0,10,3391,4.0,4.0,4.0
658,3372.0,1,1,0.961791313,0.693330638,2.362567443,54.0,66.5,12.5,970000,919,10,14.0,24,3395,4.0,4.0,1.4
659,3376.0,1,0,-0.236235418,-1.120578168,-0.493815326,190.5,223.5,33.0,4490000,920,9,13.0,22,3398,4.0,4.0,3.0
660,3377.0,1,1,0.396056468,-0.757796407,0.934376058,33.0,34.0,1.0,950000,921,5,0.0,5,3399,4.0,4.0,1.75
661,3379.0,1,1,-0.155035828,0.693330638,0.934376058,94.0,97.0,3.0,2050000,923,5,10.0,15,3401,3.25,3.0,1.5
662,3380.0,1,0,-0.236235418,-1.120578168,-0.493815326,5.0,5.0,0.0,145000,924,10,5.0,15,3402,4.0,4.0,2.666666667
663,3381.0,1,1,-0.202956897,1.056112399,-0.493815326,103.0,80.0,-23.0,1340000,925,12,12.0,24,3403,3.0,3.0,3.0
664,3408.0,1,0,-0.236235418,-1.120578168,-0.493815326,128.0,108.0,-20.0,1310000,929,7,5.0,12,3424,2.8,2.8,2.666666667
665,3417.0,1,0,-0.236235418,-1.120578168,-0.493815326,79.0,91.0,12.0,1305000,931,8,9.0,17,3432,4.0,4.0,3.25
666,3418.0,1,0,-0.236235418,-1.120578168,-0.493815326,506.0,240.0,-266.0,2410000,932,10,8.0,18,3433,2.75,3.0,1.333333333
667,3433.0,1,0,-0.236235418,-1.120578168,-0.493815326,3.0,4.5,1.5,150000,933,1,0.0,1,3446,4.0,4.0,2.0
668,3443.0,0,0,-0.236235418,-1.120578168,-0.493815326,42.25,48.25,6.0,1500000,934,8,6.0,14,3456,3.333333333,3.333333333,4.0
669,3448.0,1,1,2.226375083,-0.757796407,-0.493815326,136.0,174.0,38.0,2900000,935,12,10.0,22,3461,3.333333333,3.333333333,4.0
670,3450.0,0,0,-0.236235418,-1.120578168,-0.493815326,121.0,131.0,10.0,8490000,936,8,7.0,15,3463,3.25,3.25,3.0
671,3451.0,1,1,0.762120191,-0.757796407,-0.493815326,7.0,8.0,1.0,150000,937,3,4.0,7,3464,3.0,3.0,3.0
672,3456.0,1,0,-0.236235418,-1.120578168,-0.493815326,66.0,44.0,-22.0,850000,938,7,0.0,7,3468,3.25,3.25,2.666666667
673,3461.0,1,1,0.063164774,1.056112399,2.362567443,246.0,251.0,5.0,3580000,940,8,8.0,16,3472,4.0,4.0,4.0
674,3462.0,1,1,-0.17679998,1.056112399,-0.493815326,102.0,66.0,-36.0,990000,941,5,2.0,7,3473,3.6,3.2,3.333333333
675,3476.0,1,0,-0.236235418,-1.120578168,-0.493815326,172.5,172.5,0.0,2390000,942,8,14.0,22,3487,4.0,4.0,4.0
676,3481.0,1,1,0.143139714,-0.757796407,-0.493815326,139.5,72.0,-67.5,1145000,943,8,5.0,13,3491,3.4,3.4,3.333333333
677,3486.0,1,1,0.216352458,1.056112399,2.362567443,55.25,55.25,0.0,705000,944,5,5.0,10,3496,3.5,3.5,3.2
678,3494.0,0,0,-0.236235418,-1.120578168,-0.493815326,138.0,55.5,-82.5,880000,946,12,10.0,22,3504,2.833333333,3.333333333,3.0
679,3498.0,1,0,-0.236235418,-1.120578168,-0.493815326,57.0,34.0,-23.0,515000,947,7,10.0,17,3508,3.25,3.25,3.0
680,3506.1,1,1,0.578456037,1.056112399,0.934376058,186.5,117.0,-69.5,7755000,949,9,3.0,12,3515,3.4,3.0,4.0
681,3522.0,1,0,-0.236235418,-1.120578168,-0.493815326,756.0,756.0,0.0,10995000,950,13,14.0,27,3535,3.0,3.0,3.166666667
682,3530.0,0,0,-0.236235418,-1.120578168,-0.493815326,637.0,511.0,-126.0,15515000,953,13,14.0,27,3543,3.333333333,3.333333333,3.333333333
683,3533.1,1,0,-0.236235418,-1.120578168,-0.493815326,3.0,49.5,46.5,645000,954,7,5.0,12,3547,3.75,3.75,3.2
684,3535.0,0,0,-0.236235418,-1.120578168,-0.493815326,285.0,300.0,15.0,4250000,955,8,9.0,17,3550,3.4,3.4,3.0
685,3536.1,1,1,-0.226351697,0.693330638,-0.493815326,255.0,82.0,-173.0,1400000,956,5,5.0,10,3551,3.0,3.0,3.5
686,3539.0,1,0,-0.236235418,-1.120578168,-0.493815326,231.0,231.0,0.0,2320000,957,6,5.0,11,3555,2.75,2.5,2.666666667
687,3540.0,1,1,-0.233240351,0.693330638,-0.493815326,443.0,452.0,9.0,4800000,958,10,8.0,18,3556,3.0,3.0,2.833333333
688,3544.0,1,1,-0.23167626,1.056112399,-0.493815326,4.0,4.0,0.0,120000,959,10,9.0,19,3560,4.0,4.0,3.5
689,3547.0,1,1,-0.220128614,1.056112399,-0.493815326,4.0,4.0,0.0,80000,960,1,5.0,6,3563,3.0,3.0,3.0
690,3549.0,1,1,-0.056664522,0.693330638,0.934376058,110.0,103.0,-7.0,1810000,962,10,10.0,20,3565,4.0,4.0,3.5
691,3551.0,1,1,3.091616611,-0.757796407,0.934376058,139.5,157.5,18.0,2490000,963,9,5.0,14,3567,2.4,2.6,2.833333333
692,3553.0,0,0,-0.236235418,-1.120578168,-0.493815326,36.0,35.0,-1.0,1090000,964,7,5.0,12,3569,2.8,2.8,2.857142857
693,3554.0,1,1,-0.222098702,1.056112399,-0.493815326,12.0,12.0,0.0,180000,965,5,5.0,10,3570,4.0,4.0,3.5
694,3555.0,1,0,-0.236235418,-1.120578168,-0.493815326,80.5,36.5,-44.0,770000,966,7,0.0,7,3571,4.0,4.0,4.0
695,3559.0,1,1,-0.125417945,1.056112399,0.934376058,1.5,17.5,16.0,3100000,967,8,5.0,13,3575,2.0,2.0,2.5
696,3566.0,1,1,-0.181658644,-0.757796407,0.934376058,4.0,10.0,6.0,500000,968,9,5.0,14,3581,4.0,4.0,2.5
697,3568.0,1,0,-0.236235418,-1.120578168,-0.493815326,307.0,277.0,-30.0,2327000,969,7,9.0,16,3583,2.75,2.75,4.0
698,3569.0,1,1,-0.22292401,1.056112399,0.934376058,121.0,160.0,39.0,2220000,970,5,4.0,9,3584,3.5,3.0,3.0
699,3570.0,1,1,-0.069842816,1.056112399,0.934376058,5.0,126.0,121.0,1061600,971,5,3.0,8,3585,4.0,4.0,3.0
700,3574.0,1,1,-0.221592869,1.056112399,-0.493815326,202.0,197.0,-5.0,2400000,972,5,13.0,18,3589,3.333333333,3.333333333,4.0
701,3580.0,1,1,6.419468639,-0.395014646,-0.493815326,35.0,54.0,19.0,950000,974,12,12.0,24,3593,4.0,4.0,4.0
702,3587.0,1,1,0.163106826,-0.757796407,-0.493815326,66.0,67.0,1.0,1400000,975,10,14.0,24,3600,3.2,3.6,2.4
703,3594.0,1,0,-0.236235418,-1.120578168,-0.493815326,207.0,197.0,-10.0,2745000,976,10,10.0,20,3607,3.5,3.5,2.333333333
704,3596.0,1,1,-0.230910854,1.056112399,-0.493815326,63.0,122.0,59.0,1130000,977,9,7.0,16,3609,3.6,3.6,3.333333333
705,3606.0,1,1,10.41289107,-0.757796407,0.934376058,29.0,7.0,-22.0,1750000,979,9,10.0,19,3618,4.0,4.0,3.0
706,3618.0,1,1,-0.190843516,1.056112399,-0.493815326,46.0,48.0,2.0,2762000,981,5,0.0,5,3631,3.0,3.0,2.75
707,3620.1,0,0,-0.236235418,-1.120578168,-0.493815326,33.0,3.0,-30.0,500000,982,0,5.0,5,3633,4.0,4.0,3.333333333
708,3624.0,1,1,-0.04322,1.056112399,0.934376058,35.0,20.0,-15.0,1800000,984,9,8.0,17,3639,4.0,4.0,2.25
709,3629.0,1,1,-0.060192045,1.056112399,0.934376058,4.0,4.0,0.0,800000,985,10,5.0,15,3644,4.0,4.0,2.0
710,3630.0,0,0,-0.236235418,-1.120578168,-0.493815326,17.5,17.5,0.0,2500000,986,13,10.0,23,3645,4.0,4.0,4.0
711,3637.0,1,1,-0.185851738,1.056112399,0.934376058,5.0,5.0,0.0,1300000,990,10,13.0,23,3653,4.0,4.0,3.0
712,3640.0,1,1,-0.22292401,-0.757796407,-0.493815326,40.0,40.0,0.0,3200000,991,12,9.0,21,3656,3.5,3.5,3.2
713,3644.0,0,0,-0.236235418,-1.120578168,-0.493815326,138.0,122.0,-16.0,13800000,992,12,10.0,22,3660,2.0,2.0,1.5
714,3656.0,1,1,1.094905394,-0.757796407,-0.493815326,23.0,23.0,0.0,3200000,993,12,12.0,24,3673,4.0,4.0,4.0
715,3672.0,1,1,-0.181325859,1.056112399,-0.493815326,66.0,32.0,-34.0,900000,994,9,8.0,17,3688,3.666666667,3.666666667,3.0
716,3682.0,1,1,-0.103121336,-0.757796407,-0.493815326,125.0,120.0,-5.0,5550000,995,12,10.0,22,3696,2.6,3.2,3.0
717,3690.0,1,1,0.429334988,-0.757796407,-0.493815326,100.0,100.0,0.0,4295000,997,12,14.0,26,3702,3.333333333,3.333333333,3.166666667
718,3691.0,1,1,0.163106826,-0.757796407,-0.493815326,101.0,55.5,-45.5,2380000,998,14,14.0,28,3703,3.4,3.4,2.6
719,3692.0,1,1,0.096549785,-0.757796407,-0.493815326,73.5,71.5,-2.0,2245000,999,9,0.0,9,3704,3.0,3.0,3.5
720,3697.0,1,1,-0.21593552,1.056112399,-0.493815326,63.0,6.0,-57.0,700000,1000,10,10.0,20,3708,3.0,3.25,2.8
721,3706.0,1,0,-0.236235418,-1.120578168,-0.493815326,6.0,6.0,0.0,140000,1001,7,12.0,19,3717,3.0,4.0,3.5
722,3707.0,1,1,-0.195103167,1.056112399,0.934376058,2.0,2.0,0.0,200000,1003,8,8.0,16,3718,4.0,4.0,4.0
723,3708.0,1,1,-0.156366969,0.693330638,0.934376058,51.5,51.5,0.0,4070000,1004,7,13.0,20,3719,3.0,3.0,4.0
724,3711.0,1,1,-0.153039117,1.056112399,0.934376058,50.5,24.5,-26.0,1570000,1005,12,10.0,22,3722,2.0,3.0,3.0
725,3719.0,1,1,-0.15769811,1.056112399,2.362567443,10.0,10.0,0.0,1500000,1006,9,7.0,16,3728,3.5,3.5,3.0
726,3721.0,1,1,1.850327804,0.693330638,0.934376058,2.0,2.0,0.0,170000,1009,7,4.0,11,3730,4.0,4.0,4.0
727,3723.0,1,1,-0.208880474,1.056112399,0.934376058,5.0,5.0,0.0,200000,1010,9,10.0,19,3732,3.5,3.5,3.0
728,3724.0,1,1,0.762120191,-0.757796407,-0.493815326,118.0,58.0,-60.0,2150000,1011,12,12.0,24,3733,3.666666667,3.666666667,3.0
729,3725.0,1,1,-0.202956897,0.693330638,-0.493815326,108.0,7.0,-101.0,370000,1012,6,,6,3734,3.333333333,3.666666667,4.0
730,3728.0,1,1,0.229663866,0.693330638,-0.493815326,242.0,260.0,18.0,16550000,1013,9,8.0,17,3737,3.166666667,3.166666667,3.0
731,3731.0,1,0,-0.236235418,-1.120578168,-0.493815326,83.0,83.0,0.0,2032000,1014,13,9.0,22,3740,4.0,4.0,4.0
732,3732.0,1,0,-0.236235418,-1.120578168,-0.493815326,16.0,16.0,0.0,970000,1016,9,5.0,14,3741,4.0,4.0,4.0
733,3736.0,1,1,-0.019925036,1.056112399,2.362567443,17.5,35.5,18.0,1420000,1017,5,7.0,12,3745,3.6,3.6,3.5
734,3738.0,1,1,-0.103121336,1.056112399,0.934376058,74.0,58.5,-15.5,3150000,1018,5,5.0,10,3747,4.0,4.0,4.0
735,3739.0,1,1,0.029992745,1.056112399,-0.493815326,95.0,34.0,-61.0,2350000,1019,10,12.0,22,3748,3.5,4.0,4.0
736,3742.0,1,1,-0.199096589,1.056112399,0.934376058,113.5,113.5,0.0,5950000,1020,7,5.0,12,3751,3.0,3.0,2.666666667
737,3743.0,1,1,-0.176666866,0.693330638,0.934376058,51.0,178.0,127.0,6200000,1021,6,0.0,6,3752,2.6,2.6,2.5
738,3761.0,1,1,2.426046205,-0.757796407,0.934376058,211.0,246.0,35.0,11450000,1022,12,13.0,25,3770,2.0,2.0,2.0
739,3772.0,1,0,-0.236235418,-1.120578168,-0.493815326,81.5,78.0,-3.5,13800000,1023,7,7.0,14,3781,3.333333333,2.666666667,2.8
740,3773.0,1,0,-0.236235418,-1.120578168,-0.493815326,82.0,102.0,20.0,1360000,1024,7,8.0,15,3782,3.25,3.25,3.0
741,3778.0,1,1,-0.206284749,1.056112399,0.934376058,64.1,108.5,44.4,3200000,1025,7,5.0,12,3787,3.166666667,3.166666667,2.666666667
742,3779.0,1,1,-0.155035828,1.056112399,0.934376058,49.5,41.5,-8.0,1440000,1026,5,8.0,13,3788,3.333333333,4.0,3.333333333
743,3785.0,1,1,1.004387819,1.056112399,2.362567443,264.0,206.0,-58.0,2940000,1027,7,9.0,16,3798,3.333333333,3.333333333,3.0
744,3787.0,1,1,-0.185652067,0.693330638,-0.493815326,65.0,77.3,12.3,2220000,1028,10,9.0,19,3802,3.2,3.2,2.0
745,3788.0,1,1,1.278602826,0.693330638,0.934376058,105.0,121.0,16.0,2300000,1029,12,9.0,21,3803,2.75,3.25,2.25
746,3789.1,1,1,-0.172340659,1.056112399,2.362567443,73.0,87.0,14.0,1670000,1030,10,5.0,15,3804,4.0,4.0,3.0
747,3798.0,1,1,0.782087303,1.056112399,0.934376058,57.0,123.0,66.0,2335000,1031,8,8.0,16,3813,3.25,3.25,2.4
748,3799.0,1,1,-0.226251862,1.056112399,-0.493815326,41.0,41.0,0.0,800000,1032,7,6.0,13,3814,3.333333333,3.333333333,2.0
749,3801.0,1,1,0.296220907,-0.757796407,0.934376058,20.0,20.0,0.0,1100000,1033,10,10.0,20,3816,4.0,4.0,2.0
750,3803.0,1,1,1.103225024,1.056112399,0.934376058,56.0,56.0,0.0,2400000,1034,12,12.0,24,3818,2.5,2.5,2.8
751,3807.0,1,1,-0.05919369,1.056112399,0.934376058,13.0,7.5,-5.5,750000,1035,7,7.0,14,3824,4.0,4.0,4.0
752,3809.0,1,1,0.802054415,0.693330638,0.934376058,25.0,35.0,10.0,7800000,1036,7,5.0,12,3826,3.6,3.6,2.0
753,3811.1,1,1,-0.123088449,1.056112399,0.934376058,10.0,55.0,45.0,1400000,1037,10,10.0,20,3828,2.25,1.5,1.6
754,3813.0,1,1,-0.219596157,1.056112399,-0.493815326,79.0,113.0,34.0,13200000,1038,6,13.0,19,3830,3.75,3.75,2.25
