,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
98,506.0,0,0,-0.236235418,-1.120578168,-0.493815326,2.0,1.0,-1.0,150000,117,6,0.0,6,501,4.0,4.0,4.0
99,509.0,1,1,1.574116086,0.693330638,0.934376058,76.0,61.0,-15.0,16900000,119,6,5.0,11,504,4.0,4.0,2.0
100,510.0,1,1,-0.169678377,1.056112399,-0.493815326,2.5,2.0,-0.5,500000,120,4,5.0,9,505,4.0,4.0,4.0
101,512.0,0,0,-0.236235418,-1.120578168,-0.493815326,3.0,4.0,1.0,1050000,121,2,0.0,2,507,4.0,4.0,4.0
102,526.0,0,0,-0.236235418,-1.120578168,-0.493815326,151.0,145.0,-6.0,7800000,123,8,5.0,13,522,2.75,2.75,2.166666667
103,532.1,0,0,-0.236235418,-1.120578168,-0.493815326,4.5,2.25,-2.25,300000,125,5,8.0,13,528,3.333333333,3.333333333,2.666666667
104,551.0,1,1,-0.163022673,1.056112399,0.934376058,24.0,24.0,0.0,3925000,126,14,12.0,26,550,4.0,4.0,4.0
105,552.0,1,1,0.029992745,-0.395014646,-0.493815326,87.0,109.0,22.0,6230000,128,9,10.0,19,551,3.25,3.25,2.833333333
106,554.0,1,1,-0.103121336,1.056112399,-0.493815326,2.0,2.0,0.0,300000,129,5,0.0,5,553,4.0,4.0,3.0
107,557.0,0,0,-0.236235418,-1.120578168,-0.493815326,16.0,35.0,19.0,1890000,130,6,0.0,6,556,3.5,3.5,3.0
108,563.0,0,0,-0.236235418,-1.120578168,-0.493815326,231.0,171.0,-60.0,710000,131,0,0.0,0,562,3.25,3.25,2.166666667
109,569.0,1,1,-0.232907566,1.056112399,-0.493815326,2.0,2.0,0.0,300000,132,9,9.0,18,566,3.0,3.0,3.0
110,573.0,1,1,-0.143055561,1.056112399,0.934376058,108.0,177.0,69.0,11520000,134,9,9.0,18,570,3.333333333,3.333333333,4.0
111,574.0,1,1,-0.199396096,1.056112399,-0.493815326,59.5,5.5,-54.0,1100000,135,7,6.0,13,571,4.0,4.0,4.0
112,577.0,1,1,0.276253795,1.056112399,3.790758827,31.5,186.5,155.0,1150000,136,10,12.0,22,574,3.333333333,3.333333333,2.0
113,581.11,1,1,-0.219596157,1.056112399,-0.493815326,1042.0,452.0,-590.0,16595000,139,10,13.0,23,578,4.0,4.0,3.6
114,585.0,0,0,-0.236235418,-1.120578168,-0.493815326,23.0,23.0,0.0,8020000,140,8,8.0,16,587,4.0,4.0,2.0
115,586.0,0,0,-0.236235418,-1.120578168,-0.493815326,7.0,57.0,50.0,1500000,141,8,6.0,14,588,4.0,3.75,2.0
116,587.0,1,1,-0.103121336,1.056112399,0.934376058,51.0,99.0,48.0,5600000,142,12,8.0,20,589,3.333333333,3.333333333,2.5
117,588.0,0,0,-0.236235418,-1.120578168,-0.493815326,35.0,35.0,0.0,1190000,144,8,5.0,13,590,4.0,4.0,2.5
118,594.0,0,0,-0.236235418,-1.120578168,-0.493815326,42.0,45.0,3.0,630000,146,12,10.0,22,596,3.5,4.0,2.0
119,598.0,1,1,-0.189645489,1.056112399,2.362567443,63.0,3.0,-60.0,300000,147,7,5.0,12,602,3.0,3.0,2.0
120,600.0,0,0,-0.236235418,-1.120578168,-0.493815326,12.0,12.0,0.0,1200000,149,8,8.0,16,605,4.0,4.0,2.0
121,613.0,0,0,-0.236235418,-1.120578168,-0.493815326,42.0,57.0,15.0,3080000,151,12,14.0,26,617,4.0,4.0,4.0
122,615.0,1,1,0.063271265,1.056112399,2.362567443,12.0,3.0,-9.0,240000,152,8,6.0,14,619,3.333333333,3.333333333,2.166666667
123,623.0,0,0,-0.236235418,-1.120578168,-0.493815326,42.0,37.5,-4.5,2770000,153,9,10.0,19,627,3.25,3.666666667,2.166666667
124,631.0,0,0,-0.236235418,-1.120578168,-0.493815326,112.5,112.5,0.0,1790000,155,12,5.0,17,635,3.333333333,2.666666667,2.75
125,632.0,0,0,-0.236235418,-1.120578168,-0.493815326,31.0,31.0,0.0,4350000,156,6,7.0,13,636,4.0,4.0,3.333333333
126,634.0,1,1,-0.078175758,1.41889416,2.362567443,56.0,34.0,-22.0,565000,157,8,9.0,17,638,3.333333333,3.333333333,2.333333333
127,655.1,1,1,-0.12508516,1.056112399,3.790758827,2.5,57.0,54.5,650000,162,5,7.0,12,659,4.0,4.0,1.6
128,660.1,0,0,-0.236235418,-1.120578168,-0.493815326,104.0,9.5,-94.5,360000,164,6,5.0,11,665,3.333333333,3.333333333,2.8
129,664.0,1,1,-0.232907566,0.693330638,-0.493815326,57.0,57.0,0.0,4260000,165,13,10.0,23,670,4.0,4.0,3.0
130,666.1,0,0,-0.236235418,-1.120578168,-0.493815326,101.0,90.0,-11.0,1130000,166,9,8.0,17,672,3.666666667,4.0,3.8
131,667.0,0,0,-0.236235418,-1.120578168,-0.493815326,178.0,178.0,0.0,2110000,167,10,12.0,22,674,4.0,4.0,3.0
132,670.0,0,0,-0.236235418,-1.120578168,-0.493815326,78.0,12.0,-66.0,550000,168,9,9.0,18,677,4.0,4.0,4.0
133,677.1,0,0,-0.236235418,-1.120578168,-0.493815326,71.0,68.0,-3.0,3690000,170,5,6.0,11,684,3.0,3.0,2.8
134,680.0,0,0,-0.236235418,-1.120578168,-0.493815326,82.0,102.0,20.0,4265000,171,10,8.0,18,688,2.333333333,2.333333333,2.0
135,685.0,1,1,-0.118429456,0.693330638,0.934376058,67.0,719.0,652.0,7600000,174,10,10.0,20,693,3.0,3.0,2.333333333
136,695.0,0,0,-0.236235418,-1.120578168,-0.493815326,72.0,96.0,24.0,1555000,176,10,8.0,18,703,4.0,3.75,3.5
137,698.0,0,0,-0.236235418,-1.120578168,-0.493815326,188.0,188.0,0.0,2900000,178,10,7.0,17,706,3.0,4.0,2.0
138,707.0,1,1,-0.229579714,1.056112399,-0.493815326,46.0,156.0,110.0,1550000,179,0,0.0,0,715,3.25,4.0,1.6
139,708.0,1,1,9.081750262,-0.757796407,5.218950212,283.0,307.0,24.0,7232006,180,5,5.0,10,716,1.0,1.0,1.166666667
