a01,e01,e02,e06_sum,e07,Savings diversification,g02_1,g02,Land Acquired,g10,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household,Year
4534,1,1,-0.232907566,1.056112399,-0.493815326,-0.337579263,-0.16059151,0.306399183,-0.357142448,-1.111402145,1.15530324,0.21636371,-0.876834376,-0.816181099,-0.465398638,1
4541,1,1,-0.232375109,1.056112399,-0.493815326,-0.337579263,-0.772126456,-0.445741986,-0.687828993,-0.087628598,-0.619603973,-0.429515543,0.930271042,0.895122396,0.770697166,1
4547,1,1,-0.149711265,-0.757796407,-0.493815326,-0.278685392,-0.16059151,0.218486579,-0.216294476,1.277402799,1.15530324,1.346652402,-0.153992209,-0.4739204,0.152649264,1
4571,1,1,0.105867771,1.056112399,0.934376058,-0.618961088,-0.279721694,0.579905063,-0.268346987,0.253629251,0.648186894,0.539303336,-0.153992209,-0.131659701,-0.300585865,1
4573,1,1,-0.133537904,1.056112399,0.934376058,-0.062741201,-0.406793891,-0.406669717,-0.155056227,-0.087628598,-0.619603973,-0.429515543,0.930271042,0.552861697,1.1827291,1
4575,1,1,0.003369928,-0.757796407,-0.493815326,-0.193616468,-0.486214013,-0.308989046,-0.657209869,-0.428886447,0.648186894,0.21636371,-0.876834376,-0.816181099,-0.795024186,1
4589,1,1,0.762120191,-0.757796407,-0.493815326,0.643985243,0.411233375,-0.455510053,-0.041765466,0.594887101,0.648186894,0.700773149,-0.876834376,-0.816181099,-1.536681669,1
4590,1,1,-0.233573136,1.056112399,-0.493815326,-0.049653674,-0.065287362,-0.006178965,-0.005022516,1.277402799,1.15530324,1.346652402,0.930271042,0.895122396,-1.289462508,1
4592,1,0,-0.236235418,-1.120578168,-0.493815326,2.116332002,2.384823428,-0.225960475,2.143215259,0.594887101,-1.887394839,-0.913924982,0.026718333,0.039470649,1.1827291,1
4598,1,0,-0.236235418,-1.120578168,-0.493815326,0.375690945,0.490653498,0.042661371,0.095408212,1.277402799,0.648186894,1.023712776,0.930271042,0.895122396,1.1827291,1
4606,1,1,-0.176999652,0.693330638,0.934376058,0.624353953,0.307987215,-0.553190724,-0.588316838,-0.087628598,-0.112487626,-0.106575916,-1.23825546,-0.816181099,-0.259382672,1
4617,1,1,-0.143301822,0.693330638,0.934376058,0.944998359,1.975809795,1.019468084,-0.59597162,-0.428886447,0.648186894,0.21636371,0.930271042,0.895122396,0.976713132,1
4625.1,0,0,-0.236235418,-1.120578168,-0.493815326,0.545828793,-0.247953645,-1.119738618,-0.543919108,-0.087628598,-0.619603973,-0.429515543,0.930271042,0.895122396,1.1827291,1
4627,1,0,-0.236235418,-1.120578168,-0.493815326,-0.376841843,-0.263837669,0.238022713,-0.620466919,-1.111402145,-0.112487626,-0.590985356,-3.045360879,-1.500702497,0.193852457,1
4642,1,1,-0.104785262,1.056112399,0.934376058,0.787948038,1.499289058,0.667817667,0.781888983,-0.087628598,-0.366045799,-0.26804573,0.629086805,0.039470649,0.35866523,1
4646,1,1,-0.19097663,1.056112399,-0.493815326,-0.056197438,-0.025577301,0.052429438,0.408335664,-0.428886447,-0.873162146,-0.752455169,0.478494688,-0.388355225,0.152649264,1
4648,0,0,-0.236235418,-1.120578168,-0.493815326,0.01578396,-0.271779682,-0.357829382,-0.265285075,1.959918497,0.394628721,1.185182589,-0.876834376,0.895122396,0.193852457,1
4649,0,0,-0.236235418,-1.120578168,-0.493815326,0.369147182,0.482711486,0.042661371,-0.151994314,-0.428886447,-1.887394839,-1.398334422,0.930271042,0.895122396,1.1827291,1
4654,1,1,-0.168347236,1.056112399,0.934376058,-0.226335285,0.109436908,0.472456325,0.132763544,-1.111402145,-0.619603973,-0.913924982,0.930271042,0.895122396,0.35866523,1
4659,0,0,-0.236235418,-1.120578168,-0.493815326,-0.455367003,-0.43856194,0.140342042,-0.439814085,-1.111402145,-0.619603973,-0.913924982,0.930271042,0.895122396,1.1827291,1
4660,1,1,-0.049875704,1.056112399,0.934376058,-0.50771711,-0.573576149,0.052429438,-0.295904199,0.253629251,0.141070547,0.21636371,-4.491045214,0.895122396,1.1827291,1
4662,1,1,-0.235170505,0.693330638,-0.493815326,0.15320299,0.149146969,-0.045251233,-0.142808577,0.594887101,0.394628721,0.539303336,-1.780387086,-1.671832846,-1.536681669,1
4669,1,1,-0.152526628,1.056112399,2.362567443,-0.517532755,-0.593431179,0.042661371,-0.617405007,1.618660648,1.662419587,1.831061841,0.930271042,0.895122396,0.193852457,1
4673,0,0,-0.236235418,-1.120578168,-0.493815326,-0.039838029,-0.140736479,-0.113627703,0.809446196,1.277402799,0.648186894,1.023712776,0.930271042,0.895122396,1.1827291,1
4681,0,0,-0.236235418,-1.120578168,-0.493815326,0.329884601,0.697145817,0.365007586,-0.231604038,0.594887101,1.408861414,1.185182589,0.32790257,-0.245746601,1.1827291,1
4686,1,1,-0.22292401,1.056112399,-0.493815326,-0.674583076,-0.784039474,0.042661371,-0.70926238,-0.087628598,0.394628721,0.21636371,0.930271042,0.895122396,1.1827291,1
4697,1,1,-0.156366969,-0.395014646,-0.493815326,-0.579698507,-0.668880296,0.042661371,-0.550042933,1.277402799,1.662419587,1.669592028,-1.780387086,-1.671832846,-0.671414606,1
4701,1,1,1.178101694,1.41889416,0.934376058,0.248087559,0.339755264,0.047545404,0.092958682,0.594887101,0.648186894,0.700773149,-0.515413293,0.552861697,-1.289462508,1
4702,1,1,0.096549785,0.693330638,0.934376058,0.539285029,0.768623928,0.140342042,-0.035641641,-0.428886447,0.648186894,0.21636371,0.930271042,0.895122396,-0.671414606,1
4705,1,1,-0.202956897,0.693330638,-0.493815326,-0.651679904,-0.56166313,0.281979016,-0.550042933,-1.111402145,-0.873162146,-1.075394795,-0.425058022,-0.388355225,-2.031119991,1
4708.1,1,1,-0.209612601,0.693330638,-0.493815326,-0.288501037,-0.748300419,-0.489698288,-0.684767081,-0.428886447,-0.112487626,-0.26804573,-0.153992209,-0.131659701,0.688290778,1
4715,1,1,-0.00994148,0.693330638,0.934376058,-0.082372491,0.089581877,0.23313868,-0.460022707,0.253629251,0.648186894,0.539303336,0.930271042,0.895122396,-0.053366704,1
4717,1,1,-0.188746969,0.693330638,0.934376058,0.63744148,0.284161178,-0.60203106,-0.179551526,-0.087628598,0.141070547,0.054893897,-0.876834376,-0.816181099,-2.525558312,1
4719,1,1,-0.210943742,0.693330638,2.362567443,-0.291772919,-0.541808099,-0.230844509,-0.678643256,0.594887101,-0.619603973,-0.106575916,0.930271042,0.895122396,-0.053366704,1
4723,1,0,-0.236235418,-1.120578168,-0.493815326,0.002696433,-0.668880296,-0.826696604,-0.700076643,-0.087628598,0.394628721,0.21636371,0.32790257,0.324687898,0.770697166,1
4730,0,0,-0.236235418,-1.120578168,-0.493815326,0.71596664,2.015519857,1.410190769,-0.493275076,-0.087628598,-1.126720319,-0.752455169,-0.515413293,-1.158441798,0.564681198,1
4732,0,0,-0.236235418,-1.120578168,-0.493815326,-0.592786034,-0.748300419,-0.035483166,-0.721326315,-0.087628598,1.15530324,0.700773149,0.930271042,0.895122396,1.1827291,1
4737,1,1,-0.198856984,1.056112399,-0.493815326,-0.533892164,-0.61328621,0.042661371,-0.695483774,-0.770144296,-1.887394839,-1.559804235,-0.876834376,-1.244006973,0.688290778,1
4739,0,0,-0.236235418,-1.120578168,-0.493815326,-0.108547544,-0.097055411,0.042661371,-0.640063159,-0.428886447,-0.619603973,-0.590985356,0.930271042,0.895122396,1.1827291,1
4742,1,1,-0.198564133,1.056112399,0.934376058,-0.664767431,-0.271779682,0.6580496,-0.289780374,-0.770144296,-0.619603973,-0.752455169,-2.683939795,-2.527484594,-0.300585865,1
4753,1,1,-0.214271594,1.056112399,-0.493815326,-0.514260874,-0.565634136,0.071965572,-0.491866596,1.277402799,1.15530324,1.346652402,0.930271042,0.895122396,0.564681198,1
4765,1,1,-0.159694821,1.056112399,2.362567443,-0.54697969,-0.525924075,0.169646244,-0.329585236,-0.087628598,-0.366045799,-0.26804573,-1.780387086,-1.671832846,-0.759707163,1
4767,1,1,-0.208427886,0.693330638,-0.493815326,-0.671311195,-0.442532946,0.457804224,-0.614343094,0.594887101,0.141070547,0.377833523,-0.425058022,-0.388355225,0.564681198,1
4772,1,1,-0.214837329,1.056112399,-0.493815326,-0.520804637,-0.605344198,0.032893304,-0.54453149,0.594887101,0.648186894,0.700773149,0.930271042,0.895122396,1.1827291,1
4774,1,1,-0.202956897,1.056112399,-0.493815326,-0.687670603,-0.764184443,0.086617673,-0.265285075,1.277402799,1.408861414,1.508122215,0.930271042,0.895122396,1.1827291,1
4777,1,1,-0.149318578,1.056112399,2.362567443,-0.677854958,-0.772126456,0.062197505,-0.602095444,1.277402799,-0.112487626,0.539303336,0.930271042,0.895122396,1.1827291,1
4779,1,1,-0.230245284,1.056112399,-0.493815326,-0.576426626,-0.649025265,0.062197505,-0.602095444,1.277402799,1.15530324,1.346652402,-0.274465904,0.895122396,0.873705149,1
4782.1,1,1,-0.189645489,1.056112399,-0.493815326,-0.664767431,-0.78801048,0.023125237,-0.675581343,-1.111402145,-1.887394839,-1.721274048,0.930271042,0.895122396,1.1827291,1
4787,0,0,-0.236235418,-1.120578168,-0.493815326,-0.023478621,0.006190748,0.042661371,-0.424504522,-2.817691391,-1.887394839,-2.528623114,-0.876834376,-0.816181099,0.193852457,1
4789,1,1,-0.19853751,0.693330638,-0.493815326,2.692183179,3.302125847,0.042661371,0.82781767,-0.428886447,0.648186894,0.21636371,0.568849959,0.552861697,1.1827291,1
4790.1,0,0,-0.236235418,-1.120578168,-0.493815326,-0.44882324,-0.375025841,0.208718512,-0.611281182,-0.087628598,-1.887394839,-1.236864609,-0.876834376,-0.816181099,0.441071618,1
4792,1,1,1.833688544,0.693330638,0.934376058,0.85011379,1.900360679,1.06830842,0.500193038,-0.770144296,-0.619603973,-0.752455169,-0.274465904,0.324687898,0.688290778,1
4794,1,1,-0.201625757,1.056112399,0.934376058,-0.684398721,-0.009693276,1.009700017,-0.400009223,-1.452659995,-1.887394839,-1.882743861,-0.274465904,-1.957050096,-0.053366704,1
4795,1,1,-0.129744153,0.693330638,-0.493815326,-0.625504851,0.585957645,1.654392448,-0.295904199,-2.817691391,-0.619603973,-1.721274048,0.930271042,0.895122396,1.1827291,1
4800,1,1,-0.22425515,1.056112399,-0.493815326,-0.677854958,0.522421547,1.654392448,-0.39694731,-1.111402145,0.141070547,-0.429515543,0.026718333,0.467296522,0.688290778,1
4804,1,0,-0.236235418,-1.120578168,-0.493815326,-0.154353888,-0.152649497,0.042661371,-0.363266273,0.594887101,0.394628721,0.539303336,0.32790257,0.324687898,-0.465398638,1
4805,1,1,-0.096465632,1.056112399,-0.493815326,-0.645136141,-0.748300419,0.042661371,-0.663333693,1.618660648,1.15530324,1.508122215,0.32790257,0.324687898,-0.053366704,1
4808,1,1,-0.016597184,-1.120578168,-0.493815326,-0.160897651,-0.517982063,-0.39690165,-0.473495121,-1.452659995,-0.112487626,-0.752455169,-1.780387086,-1.671832846,-0.877430574,1
4820,1,0,-0.236235418,-1.120578168,-0.493815326,-0.42919195,0.188857031,0.872947077,-0.173427701,-1.111402145,-0.619603973,-0.913924982,0.207428875,0.210600998,-0.053366704,1
4824,1,0,-0.236235418,-1.120578168,-0.493815326,0.732326049,0.466827461,-0.519002489,-0.008084429,0.594887101,-0.619603973,-0.106575916,0.026718333,0.039470649,-0.053366704,1
4828,1,0,-0.236235418,-1.120578168,-0.493815326,-0.664767431,-0.772126456,0.042661371,-0.693952818,-1.111402145,-1.887394839,-1.721274048,0.930271042,0.895122396,-0.053366704,1
4833,1,0,-0.236235418,-1.120578168,-0.493815326,-0.164169533,-0.164562516,0.042661371,-0.292842287,-1.452659995,-0.873162146,-1.236864609,-1.328610731,-1.244006973,-0.671414606,1
4846.1,1,0,-0.236235418,-1.120578168,-0.493815326,0.388778472,0.093552883,-0.46527812,-0.057075028,1.277402799,1.15530324,1.346652402,0.568849959,0.552861697,0.152649264,1
